Month,Posting Date,Category,CustomerName,,Ship-to Code,BILL TO STATE,Item/Service Description,Qty,Basic Value
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,BTW300 BL,-1,"-1,270.34"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,BTW09-AIR-BL,-1,-846.61
May-2024,06/05/2024,Customer Sale,DELHIVERY-COD,,,Karnataka,SBW100 BK RCT,-1,"-4,278.81"
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Tamil Nadu,EM06-TYPE-C-BL,-1,-295.8
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Assam,SBA15 BK,-1,-804.2
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Andhra Pradesh,EM01 TYPE C BK,-1,-490.68
May-2024,06/05/2024,Customer Sale,CUSTOMER REPLACEMENT,,,Delhi,BE100-XTREME-BK,-1,"-1,016.10"
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Tamil Nadu,SBA10 GOLD,-1,-846.6
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Maharashtra,EM06-TYPE-C-BK,-1,-295.8
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Delhi,BTW09 AIR BK,-1,-846.6
May-2024,06/05/2024,Customer Sale,FLIPKART MARKETPLACE (DELHI),,,Uttar Pradesh,SBA15 BK,-1,-804.2
